feature,importance
Compound,0.7768138749245187
LapNumber,0.20704039818479644
Humidity,0.11494224886471267
TrackStatus,0.06894206687429079
Team,0.034984429211844414
TrackTemp,0.017009754797672506
WindSpeed,0.01454080149175927
AirTemp,0.0061021661536841965
WindDirection,0.004215799252224728
TyreLife,0.003743989805765113
Stint,0.002118799569756402
IsPitLap,0.0
PreRaceBaseline,0.0
RaceMedianLap,0.0
IsSafetyCar,0.0
Season,0.0
SessionName,0.0
EventName,0.0
RoundNumber,0.0
BaselineSourceSeason,0.0
Driver,-0.000124364475982075
